case,benchmark,metric_type,metric_name,value
hashing,sha1_digest,time,mean_s,0.000300792
hashing,sha1_digest,time,median_s,0.000300792
hashing,sha1_digest,time,p95_s,0.000300792
hashing,sha1_digest,time,stddev_s,0.0
hashing,sha1_digest,time,ops_per_sec,3324.556504162345
hashing,sha256_digest,time,mean_s,7.459e-06
hashing,sha256_digest,time,median_s,7.459e-06
hashing,sha256_digest,time,p95_s,7.459e-06
hashing,sha256_digest,time,stddev_s,0.0
hashing,sha256_digest,time,ops_per_sec,134066.2287169862
allocations,list_allocation,memory,peak_alloc_bytes,12048.0
allocations,list_allocation,memory,net_alloc_bytes,0.0
allocations,list_allocation,memory,peak_alloc_bytes_max,12048.0
allocations,dict_allocation,memory,peak_alloc_bytes,30520.0
allocations,dict_allocation,memory,net_alloc_bytes,0.0
allocations,dict_allocation,memory,peak_alloc_bytes_max,30520.0
